Nucleotide,Replicate,Time,Mature_RISC,Pre_RISC
A,1,0,0.103915178,1.160025994
A,1,15,0.196489599,1.400423884
A,1,30,0.413548969,1.13926873
A,1,60,0.674555167,1.020087089
A,1,90,0.774372333,0.979655189
A,1,120,0.773071792,0.973897924
U,1,0,0.178495516,1.492038999
U,1,15,0.236709713,1.680220274
U,1,30,0.444666208,1.322584437
U,1,60,0.752940631,1.25024745
U,1,90,0.909436485,1.234618341
U,1,120,0.898705027,1.258562624
A6,1,0,0.163187284,1.416607728
A6,1,15,0.358071413,1.411153186
A6,1,30,0.682079702,1.151885514
A6,1,60,0.920109231,1.028223038
A6,1,90,0.956527946,0.940450692
A6,1,120,1,1
G,1,0,0.1088358,1.161537993
G,1,15,0.140096545,1.48513518
G,1,30,0.285929371,1.257506071
G,1,60,0.532021812,1.193520837
G,1,90,0.653209932,1.103789622
G,1,120,0.703186282,1.081687173
A,2,0,0.076418021,1.077063496
A,2,15,0.17672066,1.428010528
A,2,30,0.420318075,1.272520693
A,2,60,0.68616266,1.121051303
A,1,90,0.816964917,1.068151774
A,1,120,0.828855036,1.096611235
U,1,0,0.158662914,1.670427194
U,1,15,0.2184781,1.802889732
U,1,30,0.461373826,1.522979558
U,1,60,0.759359465,1.283368172
U,1,90,0.855243915,1.186767897
U,1,120,0.897241008,1.300295049
A6,1,0,0.170805109,1.805374086
A6,1,15,0.393890427,1.654254483
A6,1,30,0.701662823,1.275986827
A6,1,60,0.850153069,0.982535631
A6,1,90,1.023905875,0.987695008
A6,1,120,1,1
G,1,0,0.094815774,0.981644965
G,1,15,0.115469433,1.494144231
G,1,30,0.234107624,1.222593623
G,1,60,0.437968855,1.043480301
G,1,90,0.581102566,1.06705678
G,1,120,0.604894263,1.002454609
A,1,0,0.100647052,1.254981998
A,1,15,0.215728129,1.503933708
A,1,30,0.458368069,1.323325798
A,1,60,0.789381318,1.225714148
A,2,90,0.912165171,1.241293185
A,2,120,0.915724547,1.234083832
U,2,0,0.168809162,1.843044604
U,2,15,0.240821451,1.8891802
U,1,30,0.512858688,1.626752252
U,1,60,0.835585277,1.386890259
U,1,90,0.962760483,1.297904957
U,1,120,0.972608643,1.313142495
A6,1,0,0.144985923,1.621337125
A6,1,15,0.419838614,1.604669546
A6,1,30,0.718925718,1.227811539
A6,1,60,0.953418644,1.03217939
A6,1,90,0.989925949,0.9427681
A6,1,120,1,1
G,1,0,0.107258134,1.450824478
G,1,15,0.140310744,1.799769292
G,1,30,0.275430779,1.502231866
G,1,60,0.531914224,1.300579195
G,1,90,0.699342796,1.284475079
G,1,120,0.706941592,1.197036267
