Nucleotide,Replicate,Time,Mature_RISC,Pre_RISC
A,1,0,0.727119764,2.587086115
A,1,15,1.123185281,2.852259673
A,1,30,1.352734544,1.942263539
A,1,60,1.51725027,1.348965674
A,1,90,1.626707851,1.184267108
A,1,120,1.629596517,1.293759382
U,1,0,0.84589822,2.978368862
U,1,15,1.007779527,2.741864827
U,1,30,1.168956236,1.920125392
U,1,60,1.325001138,1.248652711
U,1,90,1.302247035,1.082668464
U,1,120,1.267902729,1.117666235
A6,1,0,0.61267947,2.980372623
A6,1,15,0.587916427,2.663740111
A6,1,30,0.658648582,1.879536423
A6,1,60,0.945364242,1.325524799
A6,1,90,0.965977859,1.034375188
A6,1,120,1,1
G,1,0,0.54390125,3.089906073
G,1,15,1.17677131,3.030156693
G,1,30,1.485544927,1.956843174
G,1,60,1.818423089,1.243585876
G,1,90,1.909546796,1.118267415
G,1,120,1.766536252,1.020829366
A,2,0,0.917575598,3.103352356
A,2,15,1.322752019,3.456660591
A,2,30,1.56423185,2.269400145
A,2,60,1.762783465,1.455915068
A,1,90,1.809399049,1.237555874
A,1,120,1.712939266,1.351110768
U,1,0,1.196946917,3.904560924
U,1,15,1.226298367,3.17763692
U,1,30,1.361272822,2.037709495
U,1,60,1.165062099,1.255679367
U,1,90,1.290988556,1.125078918
U,1,120,1.399055132,1.21276683
A6,1,0,0.602963263,2.430596862
A6,1,15,0.671593452,2.503944209
A6,1,30,0.806300099,1.838715782
A6,1,60,0.948385074,1.180903218
A6,1,90,0.977060898,0.957982116
A6,1,120,1,1
G,1,0,0.783421298,3.573115444
G,1,15,1.22049988,3.027740229
G,1,30,1.604869507,2.008905023
G,1,60,1.774237672,1.319071718
G,1,90,1.851966496,1.140146323
G,1,120,1.751584786,1.111779646
A,1,0,0.806423289,2.562781694
A,1,15,1.096845922,2.485743404
A,1,30,1.222767355,1.672004995
A,1,60,1.387226183,1.202380773
A,2,90,1.368950991,1.014926242
A,2,120,1.416253996,1.061113703
U,2,0,0.971964178,2.755410661
U,2,15,1.034368814,2.414359312
U,1,30,1.117703678,1.576360214
U,1,60,1.235248166,1.099968688
U,1,90,1.225615546,0.933945637
U,1,120,1.104432262,0.959851142
A6,1,0,0.691111204,2.713645306
A6,1,15,0.744585777,2.438372594
A6,1,30,0.813749577,1.59909674
A6,1,60,0.924649095,1.137242482
A6,1,90,0.967182995,1.004032381
A6,1,120,1,1
G,1,0,0.67661983,2.977039649
G,1,15,1.138894186,2.65894325
G,1,30,1.347403484,1.713727817
G,1,60,1.668422519,1.168477869
G,1,90,1.67914836,0.995489878
G,1,120,1.617802109,0.980039165
